标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,arXiv ID,简明摘要
MV-RAG: Retrieval Augmented Multiview Diffusion,MV-RAG：检索增强的多视角扩散,22 Aug 2025,Diffusion Model,Other,http://arxiv.org/pdf/2508.16577v1,http://arxiv.org/abs/2508.16577v1,2508.16577v1,本文提出了MV-RAG，一种结合图像检索与多视角扩散模型的文本生成三维内容新方法。该方法通过从大规模真实图像库中检索相关图片，辅助生成更准确且视角一致的三维模型，特别提升了对罕见或领域外概念的表现。通过创新的训练策略，模型能够从二维图像中学习三维一致性。实验结果表明，MV-RAG在三维一致性、真实感及文本匹配度方面优于现有主流方法，同时在标准测试集上保持竞争力，展示了其在文本驱动三维生成领域的显著优势。
Hierarchical Decision-Making for Autonomous Navigation: Integrating Deep Reinforcement Learning and Fuzzy Logic in Four-Wheel Independent Steering and Driving Systems,层次化决策方法用于自主导航：在四轮独立转向驱动系统中融合深度强化学习与模糊逻辑,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16574v1,http://arxiv.org/abs/2508.16574v1,2508.16574v1,本文提出了一种层次化决策框架，用于四轮独立转向驱动系统的自主导航。该方法结合深度强化学习实现高层路径规划，利用模糊逻辑进行低层控制，以保证导航任务的有效性和机械系统的安全性。仿真结果表明，该框架在训练效率、稳定性和行为表现上优于传统方法，实地测试也验证了其在复杂工业环境中的可靠性和实用性。该研究为四轮独立驱动移动机器人在现实场景中的应用提供了可扩展且稳健的解决方案。
LLM-Based Agents for Competitive Landscape Mapping in Drug Asset Due Diligence,基于大语言模型的智能体在药物资产尽职调查中的竞争格局映射,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16571v1,http://arxiv.org/abs/2508.16571v1,2508.16571v1,本文提出了一种基于大语言模型的智能代理系统，用于快速识别药物资产尽职调查中的竞争药物。该系统能够从复杂且分散的数据中提取竞争药物及其标准化属性，显著提升了竞争对手发现的准确率（83%召回率），优于现有主流工具。通过构建专门的评估数据集和引入验证机制，有效减少了误报。实际应用于生物科技风险投资基金后，分析时间从2.5天缩短至约3小时，显著提升了工作效率，展示了该方法在药物投资决策中的实用价值。
Sparse but Wrong: Incorrect L0 Leads to Incorrect Features in Sparse Autoencoders,稀疏但错误：不正确的L0导致稀疏自编码器中错误的特征,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16560v1,http://arxiv.org/abs/2508.16560v1,2508.16560v1,本文研究了稀疏自编码器（SAE）中关键超参数L0对特征学习的影响。作者发现，若L0设置不准确，SAE无法正确捕捉底层特征：L0过低时会混合相关特征以提升重构效果，L0过高则导致退化解，同样混合了特征。论文提出了一种确定合适L0值的方法，在模拟模型和大型语言模型中均验证了其有效性。结果表明，常用SAE往往L0偏低，强调了准确设定L0对获得正确特征的重要性，为稀疏自编码器的训练提供了指导。
Enhanced NIRMAL Optimizer With Damped Nesterov Acceleration: A Comparative Analysis,增强的NIRMAL优化器及阻尼Nesterov加速的比较分析,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16550v1,http://arxiv.org/abs/2508.16550v1,2508.16550v1,本文提出了一种改进的优化算法——增强型NIRMAL，结合了阻尼的Nesterov加速机制，以提升训练过程的稳定性。通过在多个图像分类基准数据集上的实验，增强型NIRMAL在复杂任务如CIFAR-100上表现出更优的泛化能力和更低的测试损失，优于原始NIRMAL并接近传统的带动量的随机梯度下降方法。研究结果表明，该优化器在保持高效学习的同时，增强了模型训练的稳定性和准确性，具有较强的应用潜力。
RL Is Neither a Panacea Nor a Mirage: Understanding Supervised vs. Reinforcement Learning Fine-Tuning for LLMs,强化学习既非灵丹妙药亦非幻影：理解大语言模型的监督学习与强化学习微调,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16546v1,http://arxiv.org/abs/2508.16546v1,2508.16546v1,本文通过分析监督微调（SFT）与强化学习微调（RL-FT）对大型语言模型的影响，揭示了两者在模型表现和泛化能力上的差异。研究发现，RL-FT能够部分恢复SFT导致的性能下降，但在严重过拟合情况下效果有限。模型表现的变化主要体现在特定方向上的调整，且通过针对关键方向和浅层结构的低成本修复方法即可显著提升泛化能力。该工作为理解和优化微调策略提供了新的视角，帮助在资源有限情况下更有效地提升模型性能。
Explainable AI in Deep Learning-Based Prediction of Solar Storms,基于深度学习的太阳风暴预测中的可解释人工智能,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16543v1,http://arxiv.org/abs/2508.16543v1,2508.16543v1,本文提出了一种基于深度学习的太阳风暴预测模型的可解释方法，针对太阳耀斑及相关的日冕物质抛射事件。该模型利用长短期记忆网络捕捉太阳活跃区的时间序列特征，并通过注意力机制提升预测准确性。为解决深度学习模型的“黑箱”问题，作者采用后置无关解释技术，揭示影响预测结果的关键因素，增强模型的透明度和可信度。该研究首次实现了对LSTM太阳风暴预测模型的解释，为相关领域提供了更具解释性和实用性的预测工具。
Towards Open World Detection: A Survey,迈向开放世界检测：一项综述,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16527v1,http://arxiv.org/abs/2508.16527v1,2508.16527v1,本文综述了计算机视觉领域中不断发展的检测任务，提出了“开放世界检测”（OWD）这一统一概念，涵盖了不依赖特定类别、适用于多种场景的检测模型。文章回顾了视觉感知的历史与关键技术，涵盖了从早期显著性检测到开放世界对象检测、零样本检测及视觉大语言模型的发展，分析了这些子领域的交叉与融合趋势。该综述为理解和推动视觉感知技术的整合与进步提供了系统性框架和参考。
Constraints-Guided Diffusion Reasoner for Neuro-Symbolic Learning,基于约束引导的扩散推理器用于神经符号学习,22 Aug 2025,Diffusion Model,Other,http://arxiv.org/pdf/2508.16524v1,http://arxiv.org/abs/2508.16524v1,2508.16524v1,本文提出了一种基于扩散模型的神经符号学习方法，旨在使神经网络能够有效学习复杂的逻辑约束并进行符号推理。该方法采用两阶段训练，先培养基础推理能力，再通过强化学习策略加强逻辑约束的系统学习。通过将推理过程建模为马尔可夫决策过程，并利用规则驱动的奖励信号优化网络，显著提升了神经网络在数独、迷宫、路径规划和偏好学习等经典符号推理任务中的准确性和逻辑一致性，展示了其在神经符号融合领域的潜力。
Guiding Diffusion Models with Reinforcement Learning for Stable Molecule Generation,利用强化学习引导扩散模型实现稳定的分子生成,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16521v1,http://arxiv.org/abs/2508.16521v1,2508.16521v1,本文提出了一种结合物理反馈的强化学习框架（RLPF），用于提升基于扩散模型的三维分子结构生成质量。该方法通过引入基于力场的奖励函数，指导模型生成符合物理稳定性和能量平衡的分子构型。实验证明，RLPF在多个分子数据集上显著提高了生成分子的稳定性和物理合理性，展示了将物理知识融入生成模型的有效性和潜力。
Comparative Analysis of UAV Path Planning Algorithms for Efficient Navigation in Urban 3D Environments,面向城市三维环境高效导航的无人机路径规划算法比较分析,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16515v1,http://arxiv.org/abs/2508.16515v1,2508.16515v1,本文针对无人机在复杂城市三维环境中的路径规划问题，比较分析了三种常用算法：A*、RRT*和粒子群优化（PSO）。通过设计多组实验，考察了不同城市规模、高度及障碍物密度对算法表现的影响。结果表明，A*算法在计算效率和路径质量方面表现最佳，PSO适合处理狭窄转弯和高密度障碍环境，RRT*则以其随机性在各种场景中表现均衡。该研究为无人机在复杂城市环境中选择合适路径规划算法提供了实用参考。
FLAMES: Improving LLM Math Reasoning via a Fine-Grained Analysis of the Data Synthesis Pipeline,FLAMES：通过对数据合成流程的细粒度分析提升大语言模型数学推理能力,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16514v1,http://arxiv.org/abs/2508.16514v1,2508.16514v1,本文提出了FLAMES框架，系统分析了现有10种合成数学数据生成策略及其关键因素对大语言模型数学推理能力的影响。研究发现，增加题目难度和保持题目多样性对提升模型表现尤为重要。此外，基于GSM8K和MATH的数据能有效促进模型在竞赛级别任务上的泛化能力。基于这些洞见，作者设计了两种新策略以增强模型的鲁棒性和跨领域表现，并构建了FLAMES数据集，在多个基准测试中显著优于现有公开数据集。最终，利用该数据集微调的模型在MATH测试中取得了超越更大规模模型的优异成绩，展示了方法的实用价值。
On Kinodynamic Global Planning in a Simplicial Complex Environment: A Mixed Integer Approach,基于单纯复形环境中的运动动力学全局规划：一种混合整数方法,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16511v1,http://arxiv.org/abs/2508.16511v1,2508.16511v1,本文提出了一种针对类车车辆的运动规划方法，通过优化空间路径及控制序列，实现从初始状态到目标状态的最短时间轨迹规划。该方法有效避免局部最优问题，适用于复杂三维环境的地形表示。通过将问题转化为混合整数线性规划，显著提升计算效率。仿真结果表明，该方法在保证约束条件的前提下，计算速度比现有主流规划器快约104倍，展示了其在复杂环境中高效且可靠的运动规划能力。
ML-PWS: Estimating the Mutual Information Between Experimental Time Series Using Neural Networks,ML-PWS：利用神经网络估计实验时间序列之间的互信息,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16509v1,http://arxiv.org/abs/2508.16509v1,2508.16509v1,本文提出了一种结合机器学习与路径权重采样（PWS）的方法（ML-PWS），用于从实验时间序列数据中准确估计信息传输速率。传统PWS方法虽能精确计算信息率，但依赖系统的数学模型，限制了其应用范围。ML-PWS通过机器学习构建生成模型，克服了这一限制，实现了无模型条件下的信息率计算。作者通过非线性模型生成的合成数据验证了该方法的准确性，并展示了其在神经元时间序列分析中的应用潜力，推动了复杂系统信息传输研究的发展。
Terrain Classification for the Spot Quadrupedal Mobile Robot Using Only Proprioceptive Sensing,仅使用本体感知传感器的Spot四足移动机器人地形分类,22 Aug 2025,Embodied AI,Other,http://arxiv.org/pdf/2508.16504v1,http://arxiv.org/abs/2508.16504v1,2508.16504v1,本文提出了一种基于机器人自身传感数据的地形分类方法，专为波士顿动力Spot四足机器人设计。通过分析机器人腿部运动和受力等内部信号，结合数据降维和分类技术，系统能够高效识别不同地形类型。实地测试表明，该方法在区分三种地形时准确率达约97%。该研究为四足机器人在复杂环境中安全导航提供了有效支持，提升了其适应多样地形的能力。
On Zero-Shot Reinforcement Learning,关于零样本强化学习,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16496v1,http://arxiv.org/abs/2508.16496v1,2508.16496v1,本文探讨了零样本强化学习在现实环境中的挑战，重点分析了训练环境与实际应用环境之间的差异。作者指出，现实数据质量有限、观测信息不完整且数据获取受限，给零样本学习带来显著困难。针对这些问题，论文提出了一系列新方法，并通过实验证明了现有方法的不足及改进效果。该研究为实现能够直接应用于复杂真实场景的强化学习系统提供了重要思路和技术支持。
Post Hoc Regression Refinement via Pairwise Rankings,基于成对排序的事后回归精炼方法,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16495v1,http://arxiv.org/abs/2508.16495v1,2508.16495v1,本文提出了一种名为RankRefine的后处理方法，用于提升连续属性预测的准确性，特别适用于数据稀缺的场景。该方法无需重新训练模型，通过结合基模型的预测结果与基于专家提供的成对排序信息的估计，显著降低预测误差。在分子性质预测任务中，RankRefine利用少量排序数据即可实现约10%的误差减少，且排序信息可由通用大语言模型生成。该方法简便实用，适用于多领域回归问题，尤其在标签有限时表现突出。
HAMSA: Hijacking Aligned Compact Models via Stealthy Automation,HAMSA：通过隐秘自动化劫持对齐紧凑模型,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16484v1,http://arxiv.org/abs/2508.16484v1,2508.16484v1,本文提出了一种自动化攻击框架，用于生成隐蔽且语义合理的“越狱”提示，绕过针对紧凑型大语言模型的安全防护。该方法通过多阶段进化搜索，结合种群策略和温度控制，有效平衡了探索新提示和保持语言流畅性，提升了攻击的隐蔽性和自然度。实验在英文和新构建的阿拉伯语数据集上验证了方法的有效性，支持多语言环境下对模型安全性的评估。该研究揭示了紧凑型语言模型在安全对齐方面的潜在风险，推动了更健壮防护机制的发展。
Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harms,基于基准测试评估Agentic系统对对抗性诱导危害的鲁棒性,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16481v1,http://arxiv.org/abs/2508.16481v1,2508.16481v1,本文提出了一个针对基于大语言模型的自主系统安全性的评估基准——BAD-ACTS，涵盖多种恶意行为类型和应用场景。通过该基准，作者系统地分析了当系统中某个代理被攻击者控制时，攻击者如何操纵其他代理执行有害操作。实验结果表明，单个恶意代理即可显著威胁系统安全，且常用的简单防御手段效果有限。论文还提出了一种基于消息监控的更有效防御策略。该研究为自主系统的安全性测试和防护提供了重要工具和参考。
Disentangled Multi-modal Learning of Histology and Transcriptomics for Cancer Characterization,用于癌症特征表征的组织学与转录组学的解耦多模态学习,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16479v1,http://arxiv.org/abs/2508.16479v1,2508.16479v1,本文提出了一种新的多模态学习框架，结合病理图像和基因表达数据，用于癌症的诊断和预后分析。该方法通过解耦肿瘤与微环境信息，减少数据异质性；引入多尺度一致性策略，增强不同放大倍数下的信息整合；采用知识蒸馏技术，实现仅依赖病理图像的预测，降低对配对数据的需求；并设计高效的信息聚合模块，提高推理速度。实验结果表明，该方法在癌症表征任务中优于现有技术，具备较强的临床应用潜力。
"LLM-as-classifier: Semi-Supervised, Iterative Framework for Hierarchical Text Classification using Large Language Models",LLM作为分类器：利用大语言模型进行分层文本分类的半监督迭代框架,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16478v1,http://arxiv.org/abs/2508.16478v1,2508.16478v1,本文提出了一种基于大型语言模型的半监督、迭代式框架，用于构建层级文本分类器。该方法充分利用了语言模型的零样本和少样本能力，通过结合人工参与的多轮优化，实现了领域知识引入、提示词改进和分类层级扩展。论文还提出了评估和缓解模型偏差的策略，并设计了持续监控与适应的流程。该框架有效解决了传统微调资源消耗大、难以应对动态数据分布的问题，为工业环境中的文本分类提供了准确、可解释且易维护的解决方案。
HOSt3R: Keypoint-free Hand-Object 3D Reconstruction from RGB images,HOSt3R：基于RGB图像的无关键点手-物体三维重建,22 Aug 2025,Embodied AI,Other,http://arxiv.org/pdf/2508.16465v1,http://arxiv.org/abs/2508.16465v1,2508.16465v1,本文提出了一种名为HOSt3R的无关键点检测的手-物体三维重建方法，能够从单目RGB视频中鲁棒地估计手与物体的三维变换，并结合多视角重建准确恢复三维形状。该方法无需预先扫描物体模板或依赖相机参数，克服了传统基于关键点检测方法在处理复杂物体形状、纹理弱和遮挡时的局限性。实验结果表明，HOSt3R在多个公开数据集上表现优异，具备较强的泛化能力，适用于人机交互和增强现实等应用场景。
Modular Embedding Recomposition for Incremental Learning,用于增量学习的模块化嵌入重组,22 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.16463v1,http://arxiv.org/abs/2508.16463v1,2508.16463v1,本文提出了一种名为MoDER的增量学习方法，旨在提升预训练视觉-语言模型（VLM）的零样本分类能力。与传统方法侧重于保持模型已有能力不同，MoDER通过训练多个针对已见类别的文本专家模块，并在推理时组合这些模块生成更精准的未见类别原型，从而增强模型对新类别的识别效果。该方法在多个增量学习任务和数据集上验证了其有效性，展示了在实际应用中提升模型适应性的潜力。代码已公开以促进后续研究。
Swarming Without an Anchor (SWA): Robot Swarms Adapt Better to Localization Dropouts Then a Single Robot,无锚群集（SWA）：机器人群体在定位丢失情况下的更优适应性,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16460v1,http://arxiv.org/abs/2508.16460v1,2508.16460v1,本文提出了一种名为“无锚点群体协同”（SWA）的无人机群体状态估计方法，旨在应对单个无人机定位信息丢失的问题。该方法通过融合去中心化的状态估计、相互感知和机载传感器数据，实现无人机在缺失定位时依靠相对信息保持稳定飞行。实验和仿真结果表明，SWA能有效维持无人机群体的协调运动，显著提升群体系统在定位不可靠环境下的鲁棒性和适应能力，促进多无人机协同任务的可靠执行。
GPL-SLAM: A Laser SLAM Framework with Gaussian Process Based Extended Landmarks,GPL-SLAM：基于高斯过程扩展地标的激光SLAM框架,22 Aug 2025,Embodied AI,Other,http://arxiv.org/pdf/2508.16459v1,http://arxiv.org/abs/2508.16459v1,2508.16459v1,本文提出了一种基于高斯过程的激光SLAM框架，通过对环境中的物体轮廓进行建模，实现了更精细且语义丰富的地图构建。该方法采用递归更新策略，提升了内存效率，并在贝叶斯框架下同时估计机器人位置和物体地图。相比传统网格或点云方法，所建地图不仅包含物体数量和面积信息，还能提供形状置信度，有助于安全导航和环境探索。实验结果表明，该方法在多种环境中具备良好的定位和建图性能。
A Probabilistic Inference Scaling Theory for LLM Self-Correction,大语言模型自我纠正的概率推理尺度理论,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16456v1,http://arxiv.org/abs/2508.16456v1,2508.16456v1,本文提出了一种概率推断理论，系统解释了大型语言模型在多轮自我纠正过程中准确率提升的机制。理论通过数学推导给出准确率随纠正轮次变化的公式，能够仅凭一次自我纠正的数据预测后续表现。大量实验证明该理论预测结果与实际表现高度一致，验证了其有效性。该研究为理解和优化语言模型的自我纠正能力提供了坚实的理论基础，促进了相关领域的深入发展。
Beyond Interpretability: Exploring the Comprehensibility of Adaptive Video Streaming through Large Language Models,超越可解释性：通过大语言模型探索自适应视频流的可理解性,22 Aug 2025,LLM,THU,http://arxiv.org/pdf/2508.16448v1,http://arxiv.org/abs/2508.16448v1,2508.16448v1,本文提出了ComTree框架，针对自适应视频流中的比特率调整算法，首次将开发者的理解难易度纳入考量。该框架通过生成满足性能要求的决策树集合，并利用大型语言模型评估其易懂性，从而选出最便于人类理解和优化的方案。实验结果表明，ComTree在保持算法性能的同时，大幅提升了开发者的理解度，推动了视频流技术的可解释性向更实用的“可理解性”迈进。相关代码已开源。
Boardwalk: Towards a Framework for Creating Board Games with LLMs,Boardwalk：面向利用大语言模型创建桌面游戏的框架,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16447v1,http://arxiv.org/abs/2508.16447v1,2508.16447v1,本文探讨了利用大型语言模型（LLMs）根据自然语言规则自动生成数字版棋盘游戏代码的可行性。通过让三种先进的LLM实现12款不同类型的游戏，并在自研的通用游戏接口Boardwalk中测试，研究评估了模型的成功率和常见错误。结果显示，最佳模型能够无误实现超过半数游戏，表明该方法具有较大潜力。论文总结了当前挑战及不同模型表现差异，提出了构建辅助快速开发棋盘游戏框架的未来方向，旨在简化游戏开发流程。
Integrated Noise and Safety Management in UAM via A Unified Reinforcement Learning Framework,通过统一强化学习框架实现城市空中交通中的噪声与安全综合管理,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16440v1,http://arxiv.org/abs/2508.16440v1,2508.16440v1,本文提出了一种基于强化学习的城市空中交通管理系统，首次将噪声控制与安全间隔管理融合于统一框架中。该系统通过多层次空域结构，使无人机自主调整飞行高度，有效平衡噪声影响与飞行安全。实验结果表明，该方法在高密度交通环境下兼顾了噪声减弱、安全保障和能效优化，展示了多目标协调策略在提升城市空中出行安全性和舒适性方面的应用潜力。
PediatricsMQA: a Multi-modal Pediatrics Question Answering Benchmark,PediatricsMQA：一个多模态儿科问答基准,22 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.16439v1,http://arxiv.org/abs/2508.16439v1,2508.16439v1,本文提出了PediatricsMQA，一个涵盖文本和图像的多模态儿科问答基准，包含3417个文本选择题和2067个基于634张儿科影像的视觉选择题，覆盖从胎儿期到青少年的多个发育阶段。研究发现现有大型语言模型和视觉语言模型在儿科相关任务中表现显著下降，尤其是针对年龄较小患者，反映出模型存在年龄偏差。该基准有助于推动开发更加公平、年龄敏感的AI系统，提升儿科医疗中的智能辅助能力。
OPERA: A Reinforcement Learning--Enhanced Orchestrated Planner-Executor Architecture for Reasoning-Oriented Multi-Hop Retrieval,OPERA：一种基于强化学习增强的编排式规划-执行架构，用于面向推理的多跳检索,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16438v1,http://arxiv.org/abs/2508.16438v1,2508.16438v1,本文提出了OPERA，一种结合强化学习的多步推理检索框架，旨在解决现有方法在复杂多跳检索任务中规划不准确、检索效果差及信息过滤不足的问题。OPERA通过将问题分解为子目标，并由专门模块执行推理与检索，实现了推理与检索的紧密结合。为此，作者设计了新的训练算法MAPGRPO，提升模型的策略优化能力。实验结果表明，OPERA在复杂多跳检索任务中表现优异，验证了其设计和训练方法的有效性。
"Cetvel: A Unified Benchmark for Evaluating Language Understanding, Generation and Cultural Capacity of LLMs for Turkish",Cetvel：用于评估土耳其语大语言模型语言理解、生成及文化能力的统一基准,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16431v1,http://arxiv.org/abs/2508.16431v1,2508.16431v1,本文提出了Cetvel，一个面向土耳其语的大型语言模型综合评测基准，涵盖23个多样化任务，结合语言理解、生成及文化相关内容，弥补了现有基准在任务多样性和文化贴合度上的不足。通过对33个不同模型的评测，发现多语言或通用模型表现优于专门针对土耳其语调优的模型，且语法纠错和抽取式问答任务对模型能力区分效果显著。Cetvel为土耳其语大型模型的发展和评估提供了系统且文化相关的工具。
Decoding MGMT Methylation: A Step Towards Precision Medicine in Glioblastoma,解码MGMT甲基化：向胶质母细胞瘤精准医疗迈进的一步,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16424v1,http://arxiv.org/abs/2508.16424v1,2508.16424v1,本文提出了一种名为CAMP的新方法，用于通过MRI影像非侵入性预测胶质母细胞瘤患者中MGMT基因的甲基化状态，这一状态对治疗效果具有重要指导意义。该方法通过两阶段处理，首先生成高质量的合成MRI切片，保留肿瘤及脑组织细节；其次利用自适应稀疏约束的神经网络进行准确预测。实验结果显示，CAMP在准确率、特异性和敏感性方面显著优于现有技术，展示了其在辅助精准医疗和个性化治疗中的潜力。
Double Check My Desired Return: Transformer with Target Alignment for Offline Reinforcement Learning,双重校验我的期望回报：面向离线强化学习的目标对齐Transformer,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16420v1,http://arxiv.org/abs/2508.16420v1,2508.16420v1,本文针对离线强化学习中策略难以精准达到预期回报的问题，提出了一种名为Doctor的新方法，通过对基于Transformer的模型进行目标对齐的“双重检查”，显著提升了策略在数据内外的回报匹配能力。该方法不仅增强了对策略性能的精细控制，还在医疗动态治疗等实际应用中展示了有效调节治疗强度、权衡收益与风险的能力，推动了离线强化学习在实际场景中的可靠应用。
LLM-GUARD: Large Language Model-Based Detection and Repair of Bugs and Security Vulnerabilities in C++ and Python,LLM-GUARD：基于大语言模型的C++和Python代码缺陷及安全漏洞检测与修复,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16419v1,http://arxiv.org/abs/2508.16419v1,2508.16419v1,本文系统评估了三种主流大型语言模型（ChatGPT-4、Claude 3 和 LLaMA 4）在检测和修复C++与Python代码中的常见错误及安全漏洞的能力。通过结合真实代码库和多阶段上下文提示，研究发现这些模型在识别语法和语义问题上表现优异，适合教育和初步代码审查。但在处理复杂安全漏洞和大规模生产代码时效果有限，ChatGPT-4和Claude 3表现较LLaMA 4更具深度分析能力。研究揭示了大型语言模型在代码质量保障中的潜力与当前局限。
NeuroKoop: Neural Koopman Fusion of Structural-Functional Connectomes for Identifying Prenatal Drug Exposure in Adolescents,NeuroKoop：基于神经Koopman算子的结构-功能连接组融合，用于识别青少年产前药物暴露,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16414v1,http://arxiv.org/abs/2508.16414v1,2508.16414v1,本文提出了一种名为NeuroKoop的新方法，结合结构性和功能性脑网络数据，提升了对青春期儿童产前药物暴露状况的识别能力。该方法通过融合两种脑连接信息，克服了传统分析手段的局限，实现了更准确的分类效果。应用于大型青少年数据集，NeuroKoop不仅表现优于现有方法，还揭示了关键的结构-功能脑连接，有助于深入理解产前药物暴露对脑发育的影响。
Sound and Solution-Complete CCBS,Sound和解完备的连续时间冲突基础搜索（CCBS）,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16410v1,http://arxiv.org/abs/2508.16410v1,2508.16410v1,本文针对连续时间多智能体路径规划中的主流算法CCBS，揭示了其理论版本可能无法终止且现有实现存在次优解问题。作者提出了一个分析框架，明确了保证算法既能返回最优解又能在所有可解实例上终止的充分条件。基于此，设计了一种新的分支策略，确保算法的正确性和终止性，首次实现了连续时间下与离散时间CBS相当的性能保障。实验验证了该策略在提升解质量上的有效性，并且该方法可无缝替换现有代码，为未来相关算法的评估和改进提供了系统工具。
SAMFusion: Sensor-Adaptive Multimodal Fusion for 3D Object Detection in Adverse Weather,SAMFusion：面向恶劣天气的传感器自适应多模态融合用于三维目标检测,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16408v1,http://arxiv.org/abs/2508.16408v1,2508.16408v1,本文提出了一种面向恶劣天气条件的多传感器融合方法，用于提升自动驾驶中三维目标检测的鲁棒性。该方法不仅融合了传统的RGB和激光雷达数据，还引入了近红外门控摄像头和雷达信息，以应对低光照和恶劣天气带来的挑战。通过基于深度的注意力融合和变换器解码器动态调整各传感器权重，显著提升了在浓雾等复杂环境下对远距离易受影响行人的检测精度。实验结果显示，该方法在恶劣天气场景中比现有最佳技术提高了17.2的平均精度，增强了自动驾驶系统的可靠性和安全性。
Retrieval-Augmented Defense: Adaptive and Controllable Jailbreak Prevention for Large Language Models,Retrieval-Augmented Defense：面向大语言模型的自适应可控越狱防御,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16406v1,http://arxiv.org/abs/2508.16406v1,2508.16406v1,本文提出了一种名为Retrieval-Augmented Defense（RAD）的新方法，用于防止大型语言模型遭受恶意“越狱”攻击。该方法通过引入已知攻击示例的数据库，能够无需重新训练即可快速适应新型攻击策略，同时实现安全性与模型实用性的平衡。实验结果表明，RAD有效降低了强力攻击的成功率，同时保持对正常请求的低误判率，展现出在多种应用场景下可控且稳健的防御性能。该工作为语言模型的安全防护提供了灵活且高效的解决方案。
